clause,precision,recall,f1,support
anti_assignment,0.8765432098765432,0.9466666666666667,0.9102564102564102,75
insurance,0.8181818181818182,0.9473684210526315,0.8780487804878049,38
license_grant,0.7894736842105263,0.9,0.8411214953271028,50
audit_rights,0.7419354838709677,0.9583333333333334,0.8363636363636363,48
cap_on_liability,0.7272727272727273,0.9411764705882353,0.8205128205128205,51
revenue_profit_sharing,0.7021276595744681,0.825,0.7586206896551724,40
irrevocable_or_perpetual_license,0.6363636363636364,0.9333333333333333,0.7567567567567568,15
change_of_control,0.6428571428571429,0.8709677419354839,0.7397260273972602,31
post_termination_services,0.6296296296296297,0.8947368421052632,0.7391304347826086,38
exclusivity,0.5769230769230769,0.9375,0.7142857142857143,32
uncapped_liability,0.5625,0.9,0.6923076923076923,20
non_compete,0.59375,0.7916666666666666,0.6785714285714286,24
minimum_commitment,0.4807692307692308,0.8333333333333334,0.6097560975609756,30
termination_for_convenience,0.5,0.71875,0.5897435897435898,32
ip_ownership_assignment,0.45714285714285713,0.7619047619047619,0.5714285714285714,21
volume_restriction,0.5,0.6111111111111112,0.55,18
joint_ip_ownership,0.4117647058823529,0.7,0.5185185185185185,10
unlimited_all_you_can_eat_license,1.0,0.3333333333333333,0.5,3
no_solicit_of_employees,0.3684210526315789,0.7,0.4827586206896552,10
warranty_duration,0.3684210526315789,0.6363636363636364,0.4666666666666667,11
no_solicit_of_customers,0.2857142857142857,0.4,0.3333333333333333,5
liquidated_damages,0.1111111111111111,0.42857142857142855,0.17647058823529413,7
price_restrictions,0.0,0.0,0.0,1
